id,label,SLC10A2,OR2T10,NTS,SLC6A3,LINC00887,ENPP7P8,AL163636.1,SLC47A1P1,AC025627.1,TTC21B-AS1,AL109615.1,AP003465.2,AL109946.1,AC133637.1
TCGA-BQ-7062-01A,1,0.493332981,0,0.011211462,0.027204821,0.682272474,0.125106567,0.341694925,0.092601427,0.567474988,0.020381242,0.180543543,0,0.041274114,0
TCGA-DW-7841-01A,1,0.113590413,0.682039694,0.015868442,0,0.142123552,0.228026846,0.064776454,0.460391354,0.992391678,0.066348048,0.053525726,0,0.011823015,0
TCGA-DZ-6133-01A,1,1.936923692,0.345375694,0,0.003728738,0.111852897,0.175443641,0.379134916,0.303713815,1.611596091,0.37614403,0.071413599,0,0.02371137,0
TCGA-DZ-6135-01A,1,1.563605173,0.231835204,0.023177673,0.004066484,1.375636679,0.524860469,1.018280268,0.488532782,0.842743921,0.041993132,0.039383186,0,0.100705365,0
TCGA-BQ-5887-01A,1,5.941545493,0.067024007,0.067445109,0.052001027,0.403331091,0.013300945,0.175261656,0.065540624,0.243065342,0,0,0,0.108809764,0
TCGA-DW-5561-01A,1,0.176954005,0.292869798,0,0.072207641,0.370293936,1.013815353,0.460717869,0.731129519,2.273832208,0.279100725,0.054790022,0,0.024112104,0.016437486
TCGA-DW-7963-01B,1,0.16904072,0.070428831,0.508878914,0,0.481201119,0.041569241,0,0.150580975,1.519144056,0,0,0,0.063439524,0
TCGA-5P-A9K9-01A,1,0.00965078,0.038452676,0,0.17003526,2.420772097,0.211429218,0.139589409,0.212135263,1.078505799,0.042289513,0,0,0.101401832,0
TCGA-BQ-5877-01A,1,0.183120764,0.125356517,0.150082901,0.089081314,0.757880404,0,0.806707883,0.077860101,0.055087761,0.031698992,0.044356884,0.053928061,0.094877001,0
TCGA-A4-A7UZ-01A,1,0.1437058,0.585498726,0.022770804,0.007978238,1.768289371,0.065133665,0.240808674,0.207258593,0.183392693,0.120402146,0.148919576,0,0.033754668,0
TCGA-SX-A71S-01A,1,0.036418315,0.341985188,0,0.006235176,0.290799968,0,0.444829435,0.413412536,1.131631235,0.154844448,0.172994089,0,0.013276197,0
TCGA-P4-AAVO-01A,1,1.423914307,0,0,0,2.386705849,0.029287278,0.206643879,0,0.581687669,0.036703195,0.445890961,0,0,0
TCGA-DZ-6132-01A,1,0.104365928,1.213462252,0,0,0.681325506,0,0.262094181,0.016707791,0.113382233,0.025028423,0.177825356,0,0.137440896,0
TCGA-BQ-7046-01A,1,0.379322763,0.092228891,0,0,1.796094679,0.373772059,0.186420679,0.235645833,1.731637273,0.101246685,0.125421264,0,0.083137794,0
TCGA-A4-8630-01A,1,0.578058403,0,0.017704623,0.012365732,0.610748636,0.067352196,0.38693938,0.361525057,1.290781061,0.06355278,0,0,0.077408097,0
TCGA-SX-A7SM-01A,1,0.085784107,0.069443202,0,0.221659853,1.580229877,0.629902457,0.207332494,0.942409295,1.422709271,0.012998732,0.593431225,0,0.047164599,0
TCGA-BQ-5880-01A,1,0.12016261,0.281089246,0.046105867,0,0.285540974,0.323528988,0.116730601,0.109481987,0.635427152,0,0.077915362,0.183177932,0.017324401,0
TCGA-P4-A5ED-01A,1,0.025901782,0,0,0,0.273579209,0,0,0.025474208,0,0,0.070600623,0,0,0
TCGA-B9-A44B-01A,1,0.486421877,0,0.139871403,0.02896311,0.448749587,1.333371354,0.144934858,0.755770761,1.785529558,0.012699036,0.320223448,0,0.216999199,0.021073395
